 bedroom, carpet_area, balcony, park_count,bath, price_in_Lac
3,1445,2,3,1,152
3,1400,1,3,1,150
3,1225,1,3,2,75
3,1260,1,3,2,100
3,1191,3,3,1,115
3,1200,1,3,1,131
3,1275,1,3,2,130
3,1393,2,3,2,150
3,1300,1,3,2,95
3,1076,2,3,2,96
3,1160,2,3,2,140
3,818,0,2,2,55
3,1266,2,3,1,135
3,910,1,3,2,60
3,1221,1,4,2,75
3,900,1,2,3,75
3,2700,3,3,1,175
3,1435,2,3,2,140
3,990,0,2,1,78
3,1314,0,3,4,95
3,1233,2,3,2,100
3,863,1,2,2,185
3,1200,1,3,3,77
3,1380,1,3,1,135
3,860,0,3,1,54
3,2200,2,4,1,125
3,945,1,3,1,75
3,1620,1,3,1,137
3,960,0,3,3,86
3,900,1,3,2,75
3,1400,0,3,2,120
3,1136,1,3,3,125
3,1166,1,3,2,93
3,966,2,3,1,80
3,1200,8,3,2,130
3,1318,0,3,3,112
3,1507,2,3,2,166
3,1120,1,3,2,128
3,1500,1,3,2,165
3,1750,2,3,3,185
3,1750,2,3,2,195
3,1147,1,3,3,130
3,1250,0,3,2,130
3,1027,1,2,3,96
3,1380,0,3,3,97
3,1198,1,3,1,135
3,1325,1,3,2,115
3,1200,1,3,1,75
3,1150,1,3,2,100
3,1400,1,3,1,73
3,1800,1,3,1,95
3,1200,1,3,2,100
3,1008,1,3,3,78
3,850,1,2,3,69.8
3,1950,0,3,3,220
3,1100,1,3,1,115
3,1118,0,3,3,70.5
3,1383,0,3,3,116
3,2200,2,3,3,206
3,1180,1,3,2,99
3,973,1,3,1,90
3,1230,2,3,2,110
3,890,1,2,2,86
3,1150,0,4,1,200
3,1090,2,3,3,119
3,141,0,3,3,136
3,1160,1,3,2,90.5
3,1040,1,3,2,94.5
3,1000,1,3,2,61
3,1163,1,3,3,114
3,1165,1,2,4,185
3,1450,2,3,1,133
3,1919,2,3,4,281
3,1240,1,3,3,115
3,782,0,3,3,76.5
3,961,1,2,3,58
3,1302,1,3,2,105
3,1650,0,3,2,135
3,678,1,2,1,63
3,1230,0,3,3,110
3,1390,0,3,2,131
3,920,0,3,3,90
3,1112,1,3,2,115
3,1100,0,3,2,65
3,2191,2,3,2,260
3,978,0,3,3,65
3,1092,1,3,3,68
3,1171,1,3,2,128
3,1185,1,3,3,120
3,1200,2,3,2,220
3,862,1,3,3,75
3,848,1,3,3,69.5
3,1326,2,3,2,129
3,1090,0,3,1,120
3,1020,1,3,2,65
3,1728,2,4,3,265
3,2100,2,3,3,248
3,1173,1,3,3,170
3,1100,1,3,2,165
3,1100,1,3,2,75
3,2043,2,3,2,420
3,1200,1,3,1,87
3,1281,1,3,2,75
3,1017,0,3,2,108
3,1550,1,3,3,70
3,850,1,2,2,59
3,1200,1,3,3,95
3,665,0,2,3,46
3,1169,1,3,3,104
3,2200,0,3,3,195
3,1128,1,3,1,102
3,850,1,3,2,63
3,1667,0,3,1,179
3,1150,1,3,1,99
3,1008,1,3,2,72
3,1250,1,3,3,90
3,880,1,3,2,76
3,1075,2,3,2,93.8
3,1017,2,3,3,137
3,1100,1,3,2,120
3,894,1,3,2,72.2
3,1200,1,3,2,110
3,719,1,3,2,60.4
3,1571,2,3,2,129
3,1325,1,3,2,118
3,1245,2,3,1,130
3,860,1,2,2,70.5
3,963,1,3,3,73
3,1620,2,3,1,175
3,1064,0,3,2,106
3,1086,1,3,3,89.5
3,1050,2,3,2,125
3,855,1,3,2,67
3,850,0,2,2,65
3,1203,1,3,2,145
3,945,2,3,2,95
3,970,1,3,2,107
3,1130,0,3,2,125
3,1350,2,3,1,200
3,11530,1,3,1,122
3,1100,1,3,2,115
3,960,1,3,1,65
3,960,1,3,2,71
3,1250,1,3,1,97
3,937,1,3,1,82.1
3,975,1,3,2,78.5
3,1320,0,3,2,198
3,655,1,2,2,44.9
3,900,0,3,1,85
3,1260,2,3,2,130
3,1240,2,3,2,120
3,1460,1,4,1,150
3,2400,2,3,2,160
3,1165,1,3,1,215
3,1187,0,3,3,170
3,877,1,2,2,62.8
3,1032,0,3,3,109
3,975,1,3,3,109
