location, bedroom, housetype, carpet_area, status, transatcion, furnishing, balcony, park_count,bath, ownership, facing, price_in_Lac
  Aundh,2,Flat,698,Possession by Mar 22,Resale,Unfurnished,1,2,1,Freehold,NA,99
  NIBM Road,4,Flat,1800,Ready to Move,Resale,Unfurnished,2,4,3,Freehold,East,170
 Pimple Nilakh Pimpri Chinchwad,1,Flat,500,Ready to Move,Resale,Furnished,1,1,1,Freehold,West,40
  Moshi,1,Flat,516,Ready to Move,Resale,SemiFurnished,1,2,1,Cooperative Society,East,35
 Off Fatimanagar,2,Flat,850,Ready to Move,Resale,SemiFurnished,1,2,1,Cooperative Society,East,87
  Bavdhan,4,Flat,1250,Ready to Move,Resale,Unfurnished,1,4,1,Freehold,West,90
  B.T Kawade Road,2,Flat,1150,Ready to Move,Resale,Furnished,0,2,2,Freehold,East,105
  Pashan,2,Flat,950,Ready to Move,New Property,Unfurnished,1,2,1,Cooperative Society,East,89.6
  Koregaon Park,3,Flat,1500,Ready to Move,Resale,SemiFurnished,1,3,1,Cooperative Society,East,275
 Saideep Apartment Khajina vihir chowk sadashiv peth,2,Flat,650,Ready to Move,Resale,SemiFurnished,0,1,NA,Freehold,East,65
 Hadapsar,1,Flat,500,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,East,42
 Kharadi,2,Flat,929,Ready to Move,Resale,Unfurnished,0,2,1,Freehold,NA,89
  Chakan,2,Flat,636,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,East,23
 Law College Road,3,Flat,NA,Ready to Move,New Property,Unfurnished,2,3,2,Freehold,East,250
 Sector 29,2,Flat,705,Ready to Move,Resale,Unfurnished,0,2,3,Freehold,West,43.5
 Hadapsar,3,Flat,1840,Ready to Move,Resale,Unfurnished,0,5,2,Cooperative Society,West,211
  Wakad,2,Flat,NA,Ready to Move,Resale,Unfurnished,0,2,NA,NA,East,87
  Bibwewadi,1,Flat,500,Ready to Move,Resale,Unfurnished,0,1,1,Cooperative Society,East,43.3
  Bavdhan,3,Flat,972,Ready to Move,New Property,Unfurnished,0,2,1,Freehold,East,83
 Pent  Hadapsar,6,Flat,3750,Ready to Move,Resale,Furnished,2,7,2,Freehold,West,600
  Mahalunge,1,Flat,500,Ready to Move,Resale,SemiFurnished,1,1,1,Freehold,East,52
  Koregaon Park,5,House,4300,Ready to Move,Resale,Furnished,3,5,3,Freehold,East,350
  Viman Nagar,1,Flat,630,Ready to Move,Resale,Unfurnished,0,2,1,NA,NA,55
  Borade Vasti Pimpri Chinchwad,2,Flat,NA,Ready to Move,Resale,Unfurnished,1,2,2,Cooperative Society,NA,41
Sukhsagar Nagar Kondhwa Budruk,3,House,NA,Ready to Move,Resale,Unfurnished,0,2,1,NA,East,55
  Undri,2,Flat,NA,Ready to Move,New Property,Unfurnished,1,2,1,Freehold,East,48
 Bavdhan,4,House,NA,Ready to Move,New Property,SemiFurnished,6,7,1,Freehold,East,600
  Baner,4,Flat,2200,Ready to Move,Resale,Unfurnished,2,4,4,Freehold,East,250
  Chandani Chowk Bavdhan,2,Flat,NA,Ready to Move,Resale,SemiFurnished,2,2,2,Cooperative Society,East,104
  NIBM Road,3,Flat,1200,Ready to Move,Resale,SemiFurnished,1,3,1,NA,NA,79
  Rahatni Pimpri Chinchwad,2,Flat,NA,Ready to Move,Resale,Unfurnished,0,2,NA,Freehold,East,47
  Kondhwa,2,Flat,678,Ready to Move,Resale,Unfurnished,1,2,1,Cooperative Society,East,54
  Wakad,2,Flat,NA,Ready to Move,Resale,Unfurnished,1,2,NA,Freehold,NA,65
 YashwPhase II Hinjewadi,2,Flat,640,Ready to Move,Resale,Unfurnished,1,2,2,Cooperative Society,East,56
  Lohegaon,5,House,5000,Ready to Move,Resale,Unfurnished,4,4,4,Freehold,North,125
  Hinjewadi,3,Flat,1150,Ready to Move,Resale,Unfurnished,1,3,3,Freehold,East,74
 Loni Kalbhor,1,Flat,499,Possession by Nov 21,New Property,Unfurnished,5,2,1,Freehold,East,22
  Wakad,2,Flat,893,Possession by Dec 21,New Property,Unfurnished,0,2,1,Freehold,East,91
  Bavdhan,3,Flat,1087,Possession by Mar 22,New Property,Unfurnished,2,3,2,Freehold,East,92
   Baner,2,Flat,785,Possession by Jan 22,New Property,SemiFurnished,1,2,2,Freehold,East,85
  Thite Nagar Kharadi,1,House,1800,Ready to Move,Resale,Unfurnished,1,6,4,Freehold,East,140
  Punawale Pimpri Chinchwad,2,Flat,750,Possession by Dec 22,New Property,Unfurnished,1,2,2,Cooperative Society,East,52
Prabhat Road,3,House,1350,Ready to Move,Resale,SemiFurnished,2,3,1,Cooperative Society,East,325
  Charholi Budruk,3,Flat,1150,Ready to Move,Resale,Unfurnished,1,3,2,Freehold,East,77
  Charholi Budruk,2,Flat,725,Ready to Move,New Property,Unfurnished,1,2,1,Freehold,East,48
  Undri,1,Flat,510,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,East,34
  Hinjewadi Phase 1,2,Flat,711,Possession by Sep 24,New Property,Unfurnished,1,2,1,Freehold,North  East,62.3
  Porwal Road,2,Flat,740,Ready to Move,New Property,Unfurnished,1,2,2,Freehold,East,52
 Baner  Pashan Link Road,4,Flat,NA,Ready to Move,Resale,SemiFurnished,3,5,4,Cooperative Society,North,310
  Balewadi Gaon Balewadi,4,Flat,1689,Possession by Dec 22,New Property,Unfurnished,2,3,2,Freehold,East,219
  Pimple Saudagar Pimpri Chinchwad,2,Flat,980,Ready to Move,Resale,SemiFurnished,1,2,3,Freehold,East,87
  Aundh,3,Flat,1450,Ready to Move,Resale,Unfurnished,0,3,3,NA,NA,158
 Law College Road,2,Flat,NA,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,East,200
